"Kod";"Nazwa";"w wieku przedprodukcyjnym - 14 lat i mniej;mężczyźni;2022;[osoba]";"w wieku przedprodukcyjnym - 14 lat i mniej;kobiety;2022;[osoba]";"w wieku produkcyjnym: 15-59 lat kobiety, 15-64 lata mężczyźni;mężczyźni;2022;[osoba]";"w wieku produkcyjnym: 15-59 lat kobiety, 15-64 lata mężczyźni;kobiety;2022;[osoba]";"w wieku poprodukcyjnym;mężczyźni;2022;[osoba]";"w wieku poprodukcyjnym;kobiety;2022;[osoba]";
2201012;"Borzytuchom (2)";406;387;1181;1039;172;301;
2201023;"Bytów (3)";2306;2162;8236;7373;1794;3250;
2201032;"Czarna Dąbrówka (2)";610;596;1859;1556;406;657;
2201042;"Kołczygłowy (2)";387;308;1425;1203;293;464;
2201052;"Lipnica (2)";531;449;1702;1463;389;611;
2201063;"Miastko (3)";1424;1331;6058;5021;1430;2773;
2201072;"Parchowo (2)";416;382;1237;1106;243;414;
2201082;"Studzienice (2)";346;352;1206;1066;249;406;
2201092;"Trzebielino (2)";350;299;1213;998;250;446;
2201102;"Tuchomie (2)";400;366;1462;1265;270;420;
2202011;"Chojnice (1)";3211;3065;12247;11234;3180;5997;
2202023;"Brusy (3)";1539;1453;4746;4077;896;1598;
2202032;"Chojnice (2)";1958;1805;6652;5658;1209;2146;
2202043;"Czersk (3)";1917;1834;7162;6076;1511;2782;
2202052;"Konarzyny (2)";230;221;793;650;127;244;
2203011;"Człuchów (1)";930;856;4057;3657;1229;2435;
2203023;"Czarne (3)";623;629;2949;2468;651;1303;
2203032;"Człuchów (2)";1071;935;3767;3198;647;1120;
2203043;"Debrzno (3)";695;653;2873;2474;668;1222;
2203052;"Koczała (2)";273;252;1030;869;265;490;
2203062;"Przechlewo (2)";543;496;2001;1662;437;751;
2203072;"Rzeczenica (2)";289;248;1151;964;263;464;
2204011;"Pruszcz Gdański (1)";2918;2746;10415;9839;2061;4052;
2204022;"Cedry Wielkie (2)";584;626;2341;2038;431;762;
2204032;"Kolbudy (2)";2052;1983;6985;6560;1186;2019;
2204042;"Pruszcz Gdański (2)";4196;4072;12344;11714;1839;3168;
2204052;"Przywidz (2)";556;529;2096;1815;415;684;
2204062;"Pszczółki (2)";1127;1030;3683;3318;616;1148;
2204072;"Suchy Dąb (2)";407;407;1527;1209;246;444;
2204082;"Trąbki Wielkie (2)";1179;1039;4087;3561;703;1226;
2205012;"Chmielno (2)";909;852;2480;2248;496;786;
2205023;"Kartuzy (3)";3455;3336;11124;9882;2329;4225;
2205032;"Przodkowo (2)";1372;1313;3647;3302;525;875;
2205042;"Sierakowice (2)";2868;2580;6629;5920;1041;1787;
2205052;"Somonino (2)";1263;1247;3830;3308;576;1001;
2205062;"Stężyca (2)";1322;1280;3647;3289;650;1007;
2205072;"Sulęczyno (2)";687;639;1830;1559;365;620;
2205083;"Żukowo (3)";5960;5545;16452;15413;2350;4113;
2206011;"Kościerzyna (1)";2112;1964;7441;6734;1750;3405;
2206022;"Dziemiany (2)";461;413;1452;1326;284;497;
2206032;"Karsin (2)";584;518;2072;1709;461;785;
2206042;"Kościerzyna (2)";1597;1590;5449;4727;1018;1643;
2206052;"Liniewo (2)";431;448;1463;1222;353;589;
2206062;"Lipusz (2)";431;360;1280;1079;233;392;
2206072;"Nowa Karczma (2)";802;688;2382;2129;423;762;
2206082;"Stara Kiszewa (2)";702;606;2317;1870;468;805;
2207011;"Kwidzyn (1)";2882;2750;12057;10962;2857;5667;
2207022;"Gardeja (2)";724;738;2884;2367;514;903;
2207032;"Kwidzyn (2)";1126;985;4041;3356;651;1192;
2207043;"Prabuty (3)";1018;919;4300;3506;903;1683;
2207052;"Ryjewo (2)";493;455;1989;1649;392;678;
2207062;"Sadlinki (2)";583;546;2055;1848;356;607;
2208011;"Lębork (1)";2722;2582;10851;9769;2793;5440;
2208021;"Łeba (1)";176;166;1016;820;307;615;
2208032;"Cewice (2)";854;761;2441;2157;466;776;
2208042;"Nowa Wieś Lęborska (2)";1260;1297;4686;3917;916;1551;
2208052;"Wicko (2)";442;459;1918;1682;396;664;
2209011;"Malbork (1)";2697;2677;11794;10497;3226;6159;
2209032;"Lichnowy (2)";365;356;1497;1285;251;468;
2209042;"Malbork (2)";500;450;1712;1536;321;484;
2209062;"Miłoradz (2)";272;248;1131;963;211;414;
2209073;"Nowy Staw (3)";538;507;2460;2018;538;1035;
2209082;"Stare Pole (2)";355;382;1529;1255;299;582;
2210011;"Krynica Morska (1)";66;46;407;333;112;209;
2210023;"Nowy Dwór Gdański (3)";1330;1286;5778;4922;1241;2411;
2210032;"Ostaszewo (2)";233;235;1035;797;224;410;
2210042;"Stegna (2)";737;646;3168;2679;737;1338;
2210052;"Sztutowo (2)";270;246;1141;932;322;524;
2211011;"Hel (1)";182;153;949;793;258;500;
2211023;"Jastarnia (3)";249;221;1191;1014;271;574;
2211031;"Puck (1)";792;749;3331;2994;928;1850;
2211043;"Władysławowo (3)";1128;1088;4805;4171;1129;2142;
2211052;"Kosakowo (2)";2177;2137;6908;6698;1039;1640;
2211062;"Krokowa (2)";1002;977;3620;3053;727;1166;
2211072;"Puck (2)";2939;2919;9646;8579;1540;2713;
2212011;"Ustka (1)";857;816;4145;3721;1543;2868;
2212022;"Damnica (2)";490;437;1982;1626;405;738;
2212032;"Dębnica Kaszubska (2)";806;717;3167;2615;609;1157;
2212042;"Główczyce (2)";734;680;2889;2333;609;1071;
2212053;"Kępice (3)";592;554;2926;2293;671;1196;
2212062;"Kobylnica (2)";1389;1316;4850;4179;836;1476;
2212072;"Potęgowo (2)";633;563;2227;1843;467;800;
2212082;"Redzikowo (2)";1850;1788;6677;5831;1160;2020;
2212092;"Smołdzino (2)";219;230;1025;882;261;456;
2212102;"Ustka (2)";621;595;2812;2337;613;1028;
2213013;"Czarna Woda (3)";238;220;1011;840;258;481;
2213021;"Skórcz (1)";327;295;1154;1010;216;456;
2213031;"Starogard Gdański (1)";3738;3485;14682;13048;3482;7191;
2213042;"Bobowo (2)";306;302;1135;938;179;319;
2213052;"Kaliska (2)";497;455;1817;1570;356;625;
2213062;"Lubichowo (2)";708;619;2335;1931;458;791;
2213072;"Osieczna (2)";227;223;960;772;188;326;
2213082;"Osiek (2)";182;156;749;604;223;343;
2213093;"Skarszewy (3)";1353;1407;4932;4316;836;1660;
2213102;"Skórcz (2)";419;373;1508;1225;310;504;
2213112;"Smętowo Graniczne (2)";432;357;1646;1376;370;659;
2213122;"Starogard Gdański (2)";1698;1711;5967;5189;961;1650;
2213132;"Zblewo (2)";1242;1240;4105;3641;671;1253;
2214011;"Tczew (1)";4538;4452;18390;16736;4530;8748;
2214023;"Gniew (3)";1177;1148;4969;4048;1070;2083;
2214032;"Morzeszczyn (2)";314;282;1158;969;245;400;
2214043;"Pelplin (3)";1305;1155;5202;4455;1106;1963;
2214052;"Subkowy (2)";469;494;1905;1607;305;573;
2214062;"Tczew (2)";1714;1588;5514;4868;803;1472;
2215011;"Reda (1)";2942;2665;9486;8801;1660;2952;
2215021;"Rumia (1)";4415;4307;17127;15743;3912;7130;
2215031;"Wejherowo (1)";3883;3599;15115;13603;3457;6789;
2215042;"Choczewo (2)";408;415;1711;1374;399;703;
2215052;"Gniewino (2)";750;715;2618;2101;490;774;
2215062;"Linia (2)";693;748;2132;1882;350;603;
2215072;"Luzino (2)";2141;1987;5971;5333;815;1423;
2215082;"Łęczyce (2)";1221;1188;4073;3516;716;1309;
2215092;"Szemud (2)";2520;2384;6933;6244;1126;1777;
2215102;"Wejherowo (2)";3570;3205;10207;9469;1364;2462;
2216013;"Dzierzgoń (3)";698;651;3064;2514;608;1197;
2216022;"Mikołajki Pomorskie (2)";319;284;1172;959;228;422;
2216032;"Stary Dzierzgoń (2)";269;265;1193;989;279;478;
2216042;"Stary Targ (2)";539;453;2082;1698;403;751;
2216053;"Sztum (3)";1310;1269;5729;4929;1404;2522;
2261011;"Gdańsk (1)";36109;33677;154861;148809;39200;73689;
2262011;"Gdynia (1)";16590;15832;75044;71657;22480;41271;
2263011;"Słupsk (1)";5693;5454;26613;24611;7934;16060;
2264011;"Sopot (1)";1796;1791;9389;8825;3586;6889;
