"Kod";"Nazwa";"mieszkania ogółem;2021;[-]";
2201012;"Borzytuchom (2)";838;
2201023;"Bytów (3)";7789;
2201032;"Czarna Dąbrówka (2)";1500;
2201042;"Kołczygłowy (2)";1070;
2201052;"Lipnica (2)";1229;
2201063;"Miastko (3)";5897;
2201072;"Parchowo (2)";874;
2201082;"Studzienice (2)";951;
2201092;"Trzebielino (2)";988;
2201102;"Tuchomie (2)";1068;
2202011;"Chojnice (1)";13543;
2202023;"Brusy (3)";3633;
2202032;"Chojnice (2)";5119;
2202043;"Czersk (3)";6050;
2202052;"Konarzyny (2)";543;
2203011;"Człuchów (1)";4758;
2203023;"Czarne (3)";2771;
2203032;"Człuchów (2)";2906;
2203043;"Debrzno (3)";2784;
2203052;"Koczała (2)";980;
2203062;"Przechlewo (2)";1707;
2203072;"Rzeczenica (2)";965;
2204011;"Pruszcz Gdański (1)";11372;
2204022;"Cedry Wielkie (2)";1849;
2204032;"Kolbudy (2)";6560;
2204042;"Pruszcz Gdański (2)";11526;
2204052;"Przywidz (2)";1568;
2204062;"Pszczółki (2)";2917;
2204072;"Suchy Dąb (2)";1049;
2204082;"Trąbki Wielkie (2)";2986;
2205012;"Chmielno (2)";1756;
2205023;"Kartuzy (3)";9723;
2205032;"Przodkowo (2)";2468;
2205042;"Sierakowice (2)";4433;
2205052;"Somonino (2)";2666;
2205062;"Stężyca (2)";2520;
2205072;"Sulęczyno (2)";1359;
2205083;"Żukowo (3)";13652;
2206011;"Kościerzyna (1)";7512;
2206022;"Dziemiany (2)";1116;
2206032;"Karsin (2)";1519;
2206042;"Kościerzyna (2)";3844;
2206052;"Liniewo (2)";1186;
2206062;"Lipusz (2)";861;
2206072;"Nowa Karczma (2)";1738;
2206082;"Stara Kiszewa (2)";1640;
2207011;"Kwidzyn (1)";13222;
2207022;"Gardeja (2)";2083;
2207032;"Kwidzyn (2)";3038;
2207043;"Prabuty (3)";3644;
2207052;"Ryjewo (2)";1442;
2207062;"Sadlinki (2)";1460;
2208011;"Lębork (1)";12359;
2208021;"Łeba (1)";1205;
2208032;"Cewice (2)";2152;
2208042;"Nowa Wieś Lęborska (2)";3631;
2208052;"Wicko (2)";1647;
2209011;"Malbork (1)";13743;
2209032;"Lichnowy (2)";1216;
2209042;"Malbork (2)";1235;
2209062;"Miłoradz (2)";766;
2209073;"Nowy Staw (3)";2194;
2209082;"Stare Pole (2)";1263;
2210011;"Krynica Morska (1)";464;
2210023;"Nowy Dwór Gdański (3)";5357;
2210032;"Ostaszewo (2)";846;
2210042;"Stegna (2)";2828;
2210052;"Sztutowo (2)";1102;
2211011;"Hel (1)";1203;
2211023;"Jastarnia (3)";1264;
2211031;"Puck (1)";3618;
2211043;"Władysławowo (3)";4579;
2211052;"Kosakowo (2)";6304;
2211062;"Krokowa (2)";2537;
2211072;"Puck (2)";6771;
2212011;"Ustka (1)";5932;
2212022;"Damnica (2)";1645;
2212032;"Dębnica Kaszubska (2)";2765;
2212042;"Główczyce (2)";2361;
2212053;"Kępice (3)";2728;
2212062;"Kobylnica (2)";4098;
2212072;"Potęgowo (2)";1867;
2212082;"Redzikowo (2)";5805;
2212092;"Smołdzino (2)";960;
2212102;"Ustka (2)";2342;
2213013;"Czarna Woda (3)";980;
2213021;"Skórcz (1)";1022;
2213031;"Starogard Gdański (1)";15280;
2213042;"Bobowo (2)";744;
2213052;"Kaliska (2)";1366;
2213062;"Lubichowo (2)";1812;
2213072;"Osieczna (2)";734;
2213082;"Osiek (2)";788;
2213093;"Skarszewy (3)";4061;
2213102;"Skórcz (2)";1131;
2213112;"Smętowo Graniczne (2)";1342;
2213122;"Starogard Gdański (2)";4256;
2213132;"Zblewo (2)";3167;
2214011;"Tczew (1)";20835;
2214023;"Gniew (3)";4215;
2214032;"Morzeszczyn (2)";914;
2214043;"Pelplin (3)";4165;
2214052;"Subkowy (2)";1335;
2214062;"Tczew (2)";4121;
2215011;"Reda (1)";9442;
2215021;"Rumia (1)";17662;
2215031;"Wejherowo (1)";16666;
2215042;"Choczewo (2)";1434;
2215052;"Gniewino (2)";1832;
2215062;"Linia (2)";1502;
2215072;"Luzino (2)";4137;
2215082;"Łęczyce (2)";2911;
2215092;"Szemud (2)";5103;
2215102;"Wejherowo (2)";7656;
2216013;"Dzierzgoń (3)";2671;
2216022;"Mikołajki Pomorskie (2)";943;
2216032;"Stary Dzierzgoń (2)";1002;
2216042;"Stary Targ (2)";1665;
2216053;"Sztum (3)";5620;
2261011;"Gdańsk (1)";204477;
2262011;"Gdynia (1)";99577;
2263011;"Słupsk (1)";36191;
2264011;"Sopot (1)";15109;
